"lipid","log2FC","minus_log10_pvalue"
"Cer(40:0)",-0.46747664106914,0.129596094720973
"FA(15:2)",-0.402738381530209,0.20690839982342
"Cer(39:0)",-0.167366662303454,0.0639892042847904
"PE(32:1)",0.510913448676771,0.375717904164332
"LPC(26:2)",-0.10916516944458,0.0619809025237897
"PE(32:0)",0.551955456704967,0.356547323513813
"LPC(26:1)",0.0224535461098938,0.0109953843014632
"Cer(41:2)",-0.467286089640705,0.167491087293764
"Cer(41:2)",-0.239346682424376,0.0793549985932124
"PE(O-34:5)",-1.88532178517666,1.06298389253519
"Cer(41:1)",0.0368670719767614,0.0123337350737254
"PE(O-34:4)",-2.0336460903795,1.1073489661227
"Cer(41:0)",-2.1120087234716,1.00833099262005
"PE(O-34:3)",-1.01530034339022,0.651695136951839
"HexCer(34:1)",0.516279442001153,0.322393047279507
"Cer(40:0)",-0.355633198589704,0.148130399270234
"PE(33:2)",0.826229230400976,0.355561410532161
"PE(O-34:2)",-0.0111898869018887,0.00656376950238827
"Cer(42:5)",2.62590527215254,0.614393726401688
"Cer(42:5)",2.65833982842063,0.605548319173784
"PE(O-34:1)",2.12396776058772,1.7594507517174
"PE(O-34:0)",-1.76632252863436,0.97469413473523
"Cer(42:3)",0.214247452781009,0.0777937225609836
"SM(30:1)",1.22426570357288,0.46344155742847
"FA(15:1)",-0.300702928201289,0.1890957193313
"Cer(42:2)",0.21217567762713,0.0746879085003505
"PE(O-35:5)",-0.774191430366923,0.27083521030723
"Cer(42:1)",0.44420535032388,0.180456064458131
"PE(15:0_18:1(d7))",0.539313508177884,0.498940737782249
"Cer(41:1)",-0.555656461209367,0.244887733604929
"Cer(42:0)",-0.939969633794217,0.380906669373257
