"lipid_name","log_2_foldchange","neg_log10_p_value","lipid_class"
"HEXCER(33:1;O2)",-1.68415830161824,1.26760624017703,"non-sig"
"HEXCER(34:1;O2)",-1.82715937637782,1.31695296176115,"HEXCER"
"HEXCER(34:2;O2)",-1.64982985593367,1.24488773360493,"non-sig"
"HEXCER(36:1;O2)",-3.30565280253201,1.74472749489669,"HEXCER"
"HEXCER(38:0;O2)",-3.34960332356568,0.896196279044043,"non-sig"
"HEXCER(38:1;O2)",-2.71521651106796,1.41566877563247,"HEXCER"
"HEXCER(39:1;O2)",-1.94224249969069,1.32605800136591,"HEXCER"
"HEXCER(40:1;O2)",-2.26850469010173,1.40011692792631,"HEXCER"
"HEXCER(40:2;O2)",-1.97881696282919,1.42596873227228,"HEXCER"
"HEXCER(41:0;4O)",-1.5913540543267,1.43533393574791,"HEXCER"
"HEXCER(41:1;O2)",-2.00746690825784,1.44249279809434,"HEXCER"
"HEXCER(41:2;O2)",-1.43713915335582,1.23136189875239,"non-sig"
"HEXCER(42:1;O2)",-1.81830111501194,1.36653154442041,"HEXCER"
"HEXCER(42:2;O2)",-1.82219473505315,1.27572413039921,"non-sig"
"HEXCER(42:3;O2)",-1.30655236326112,0.91721462968355,"non-sig"
"HEXCER(43:1;O2)",-1.57563932505006,1.31247103878537,"HEXCER"
"LPC(14:0)",0.137118361088408,0.250263684430939,"non-sig"
"LPC(14:1)",0.0967650481553584,0.0909791457888439,"non-sig"
"LPC(15:0)",0.0582510742937856,0.0589857562944303,"non-sig"
"LPC(16:0)",-0.285261943092884,0.6345120151091,"non-sig"
"LPC(16:1)",0.0398594948909512,0.0530567293021746,"non-sig"
"LPC(16:2)",0.136559970021086,0.299296282854981,"non-sig"
"LPC(16:3)",0.51251966501167,1.48017200622428,"LPC"
"LPC(17:0)",-0.458325441091052,0.565431095965801,"non-sig"
"LPC(17:1)",-0.105153112541434,0.184422251675733,"non-sig"
"LPC(17:2)",-0.201730480388644,0.361510743045363,"non-sig"
"LPC(18:0)",-0.692520552347084,1.34486156518862,"LPC"
"LPC(18:1)",-0.414709472234325,0.779891911959945,"non-sig"
"LPC(18:2)",-0.389959825331097,0.730487055782084,"non-sig"
"LPC(18:3)",-0.221620385528265,0.295849483160201,"non-sig"
"LPC(18:4)",0.286748501550161,0.414539270491499,"non-sig"
"LPC(19:0)",-0.151738866879281,0.139063379299906,"non-sig"
"LPC(19:1)",-0.158297484784878,0.210419287835575,"non-sig"
"LPC(20:0)",-0.211362943472103,0.177831920631982,"non-sig"
"LPC(20:1)",-0.323532532062451,0.505845405981557,"non-sig"
"LPC(20:2)",-0.0264318875281901,0.0357403698031511,"non-sig"
"LPC(20:3)",-0.6834748668788,1.51855737149769,"LPC"
"LPC(20:4)",-0.347762801858082,0.632644078973981,"non-sig"
"LPC(20:5)",-0.330278293716233,1.14752000636314,"non-sig"
"LPC(21:0)",-0.0641476975566668,0.0609802235513335,"non-sig"
"LPC(21:1)",0.0893310603716095,0.157390760389438,"non-sig"
"LPC(22:0)",-0.482193058902144,0.651695136951839,"non-sig"
"LPC(22:1)",0.598956030524775,0.534617148551582,"non-sig"
"LPC(22:2)",0.340845171745748,0.785156151952302,"non-sig"
"LPC(22:3)",-0.0899817757984458,0.174573882232177,"non-sig"
"LPC(22:4)",-0.451004591757187,0.896196279044043,"non-sig"
"LPC(22:5)",-0.517612053190259,0.476253533188435,"non-sig"
"LPC(22:6)",-0.936489379325842,1.66756154008439,"LPC"
"LPC(23:0)",-0.489623860010386,0.636388020107856,"non-sig"
"LPC(23:1)",-0.036788746737102,0.0366844886138887,"non-sig"
"LPC(24:0)",-0.71550566555856,0.97061622231479,"non-sig"
"LPC(24:1)",-0.266533084644418,0.289882634888184,"non-sig"
"LPC(24:2)",0.266700806395111,0.559090917934782,"non-sig"
"LPC(24:3)",0.136438647788442,0.293282217663241,"non-sig"
"LPC(24:5)",-0.484705020450271,0.769551078621726,"non-sig"
"LPC(24:6)",-0.87332403701663,0.467245621007502,"non-sig"
"LPC(25:0)",-0.377181655371984,0.497572880015567,"non-sig"
"LPC(25:1)",-0.362327129268508,0.539102157243452,"non-sig"
"LPC(26:0)",-0.688204516468154,0.866461091629782,"non-sig"
"LPC(26:1)",-0.614333153606925,0.844663962534938,"non-sig"
"LPC(26:2)",0.0990599992137113,0.134896025358872,"non-sig"
"LPC(O-15:0)",0.811361565831895,1.94692155651658,"LPC"
"LPC(O-16:0)",0.541411427741945,1.1007268126824,"non-sig"
"LPC(O-18:0)",-0.158400114032204,0.211831628858832,"non-sig"
"LPC(O-18:1)",0.654503046151451,2.2335871528876,"LPC"
"LPC(O-18:2)",0.862509272061526,2.42365864979421,"LPC"
"LPC(O-20:0)",-0.394019396008108,0.437707135543525,"non-sig"
"LPC(O-20:1)",0.310851663859896,0.528708288941061,"non-sig"
"LPC(O-21:0)",-0.349474531290458,0.485452247339714,"non-sig"
"LPC(O-22:0)",-0.732757124923225,0.85078088734462,"non-sig"
"LPC(O-22:1)",0.084212067562742,0.0867160982395816,"non-sig"
"LPC(O-24:0)",-1.07726514886548,1.05403929642243,"non-sig"
"LPC(O-24:1)",-0.519377646320102,0.610833915635468,"non-sig"
"LPC(O-24:2)",0.247788567057952,0.434152181326482,"non-sig"
"LPE(16:0)",-1.20061682484639,1.20481541031758,"non-sig"
"LPE(16:1)",-0.409546784367532,1.12842706445412,"non-sig"
